,Unnamed: 0,Category,Sub Category,Order Date,Sales,Discount,Profit
1518,342,Bakery,Breads & Buns,12-01-2022,2673,0.28,942.63
1519,110,Fruits & Veggies,Fresh Fruits,12-01-2022,1483,0.29,281.77
1520,109,Food Grains,Atta & Flour,12-01-2022,750,0.16,165.0
1521,108,Beverages,Soft Drinks,12-01-2022,1222,0.13,142.0416
1522,1353,Bakery,Breads & Buns,12-01-2022,2706,0.32,400.30848
1523,190,Bakery,Biscuits,12-01-2022,2036,0.33,816.96
1524,1196,Bakery,Breads & Buns,12-01-2022,1850,0.32,324.0
1525,1857,Beverages,Health Drinks,12-01-2022,2394,0.31,650.344
1526,1965,Oil & Masala,Spices,12-01-2022,1547,0.14,77.35
1527,1017,Fruits & Veggies,Organic Fruits,12-01-2022,856,0.11,171.2
1528,1703,"Eggs, Meat & Fish",Chicken,12-01-2022,1063,0.19,650.46
1529,312,Fruits & Veggies,Organic Fruits,12-01-2022,2344,0.2,421.92
1530,910,Bakery,Biscuits,12-01-2022,2179,0.25,518.41728
1531,112,Snacks,Cookies,12-01-2022,1442,0.22,305.54496
1532,1484,Bakery,Biscuits,12-01-2022,2183,0.1,136.7712
1533,898,Oil & Masala,Edible Oil & Ghee,12-01-2022,566,0.25,28.3
1534,275,Oil & Masala,Spices,12-01-2022,50,0.14,2.5
1535,111,"Eggs, Meat & Fish",Fish,12-01-2022,50,0.3,159.17056
1536,1639,Beverages,Health Drinks,12-01-2022,1486,0.23,265.8528
1537,27,"Eggs, Meat & Fish",Eggs,12-01-2022,699,0.25,184.73472
1538,37,Beverages,Soft Drinks,12-01-2022,1060,0.29,418.17599999999993
1539,30,Fruits & Veggies,Organic Vegetables,12-01-2022,609,0.3,207.06
1540,26,"Eggs, Meat & Fish",Chicken,12-01-2022,269,0.15,357.088
1541,1517,Snacks,Chocolates,12-01-2022,1491,0.29,153.96479999999997
1542,1833,Oil & Masala,Edible Oil & Ghee,12-01-2022,313,0.23,15.65
1543,39,Oil & Masala,Masalas,12-01-2022,378,0.14,18.9
1544,774,Bakery,Biscuits,12-01-2022,1812,0.29,230.37696
1545,1686,"Eggs, Meat & Fish",Mutton,12-01-2022,291,0.12,152.6784
1546,28,"Eggs, Meat & Fish",Mutton,12-01-2022,994,0.2,78.63296
1547,752,Beverages,Soft Drinks,12-01-2022,1174,0.3,312.07680000000005
