,Unnamed: 0,Category,Sub Category,Order Date,Sales,Discount,Profit
34,16,Snacks,Chocolates,02-02-2022,1861,0.29,699.2272
35,876,Bakery,Breads & Buns,02-02-2022,1619,0.27,528.2496
36,1503,"Eggs, Meat & Fish",Mutton,02-02-2022,1214,0.23,400.06
37,871,Snacks,Chocolates,02-02-2022,1361,0.27,539.15328
38,1629,Snacks,Chocolates,02-02-2022,1846,0.18,638.272
39,17,Beverages,Soft Drinks,02-02-2022,2512,0.28,152.064
40,1191,Fruits & Veggies,Organic Fruits,02-02-2022,2091,0.11,334.56
41,18,"Eggs, Meat & Fish",Fish,02-02-2022,50,0.24,72.0896
42,343,"Eggs, Meat & Fish",Mutton,02-02-2022,50,0.11,209.87904000000003
43,764,Snacks,Noodles,02-03-2022,1927,0.2,343.9584
44,1774,Food Grains,Organic Staples,02-03-2022,1580,0.1,158.0
45,814,"Eggs, Meat & Fish",Fish,02-03-2022,1033,0.31,251.52512
46,1772,Bakery,Biscuits,02-03-2022,2739,0.14,221.77152
47,833,Snacks,Chocolates,02-03-2022,2783,0.17,188.61120000000005
48,1770,Oil & Masala,Spices,02-03-2022,804,0.1,40.2
49,737,Snacks,Cookies,02-03-2022,2289,0.35,350.23104
50,1660,Bakery,Cakes,02-03-2022,2838,0.27,1083.3
51,704,Food Grains,Atta & Flour,02-04-2022,738,0.32,36.9
52,1486,"Eggs, Meat & Fish",Chicken,02-05-2022,424,0.2,66.51903999999999
53,515,Food Grains,Organic Staples,02-05-2022,1927,0.21,558.83
54,1635,Fruits & Veggies,Fresh Fruits,02-05-2022,2413,0.28,1037.59
55,521,Fruits & Veggies,Fresh Vegetables,02-05-2022,2430,0.16,170.1
56,1894,Snacks,Noodles,02-06-2022,2097,0.33,973.65
57,1423,Bakery,Biscuits,02-06-2022,2707,0.27,1184.94
58,302,Fruits & Veggies,Fresh Fruits,02-06-2022,2059,0.1,905.96
59,1586,Snacks,Noodles,02-06-2022,2141,0.14,791.744
60,196,Beverages,Soft Drinks,02-06-2022,1616,0.2,332.6976
61,889,Snacks,Noodles,02-09-2022,2999,0.16,1115.66
62,1137,Fruits & Veggies,Fresh Vegetables,02-09-2022,588,0.26,170.52
63,684,Oil & Masala,Edible Oil & Ghee,02-09-2022,252,0.31,12.6
64,286,Beverages,Soft Drinks,02-09-2022,1925,0.15,840.5
65,677,Snacks,Cookies,02-09-2022,1159,0.21,173.87135999999998
66,1008,Fruits & Veggies,Fresh Fruits,02-09-2022,1523,0.35,487.36
67,396,"Eggs, Meat & Fish",Eggs,02-10-2022,967,0.29,436.78
68,1704,Beverages,Soft Drinks,02-10-2022,1085,0.23,315.648
69,1336,Snacks,Noodles,02-11-2022,2658,0.11,1020.3
70,1142,Beverages,Health Drinks,02-11-2022,1330,0.2,227.664
71,1388,Food Grains,Dals & Pulses,02-11-2022,2440,0.16,463.6
72,188,Oil & Masala,Masalas,02-11-2022,778,0.32,38.9
73,1568,Food Grains,Dals & Pulses,02-11-2022,2035,0.32,529.1
