,Unnamed: 0,Category,Sub Category,Order Date,Sales,Discount,Profit
0,678,Bakery,Breads & Buns,01-01-2022,2737,0.18,1047.95
1,139,Oil & Masala,Masalas,01-01-2022,453,0.14,22.65
2,689,Snacks,Cookies,01-01-2022,1970,0.33,544.4928
3,691,Food Grains,Atta & Flour,01-01-2022,2332,0.31,839.52
4,358,Beverages,Soft Drinks,01-01-2022,2741,0.25,832.07
5,667,"Eggs, Meat & Fish",Chicken,01-01-2022,1045,0.18,324.92
6,660,Fruits & Veggies,Fresh Vegetables,01-01-2022,2193,0.27,592.11
7,288,Beverages,Soft Drinks,01-01-2022,1983,0.28,801.54
8,276,Oil & Masala,Edible Oil & Ghee,01-01-2022,612,0.2,30.6
9,1710,Snacks,Cookies,01-01-2022,2645,0.29,1179.35
10,1561,Food Grains,Dals & Pulses,01-02-2022,1716,0.3,154.44
11,1533,Fruits & Veggies,Fresh Vegetables,01-02-2022,1448,0.19,492.32
12,1239,Beverages,Soft Drinks,01-02-2022,903,0.1,144.864
13,1240,Snacks,Chocolates,01-02-2022,2681,0.15,1049.16
14,508,"Eggs, Meat & Fish",Mutton,01-02-2022,866,0.21,423.1
15,511,Food Grains,Rice,01-02-2022,1482,0.17,474.24
16,231,Oil & Masala,Masalas,01-02-2022,946,0.33,47.3
17,519,Beverages,Health Drinks,01-02-2022,2616,0.21,685.024
18,892,Beverages,Soft Drinks,01-03-2022,2776,0.12,1174.16
19,857,"Eggs, Meat & Fish",Chicken,01-03-2022,50,0.21,98.44736
20,937,Oil & Masala,Edible Oil & Ghee,01-03-2022,349,0.29,17.45
21,1865,"Eggs, Meat & Fish",Mutton,01-06-2022,547,0.17,107.33568
22,835,Bakery,Cakes,01-07-2022,2254,0.22,571.6224000000001
23,595,Beverages,Health Drinks,01-07-2022,1139,0.35,234.1152
24,178,"Eggs, Meat & Fish",Fish,01-07-2022,50,0.14,155.2384
25,603,Food Grains,Dals & Pulses,01-07-2022,1368,0.18,615.6
26,601,Oil & Masala,Masalas,01-07-2022,585,0.14,29.25
27,581,"Eggs, Meat & Fish",Chicken,01-07-2022,50,0.15,24.832
28,1109,Oil & Masala,Edible Oil & Ghee,01-08-2022,50,0.19,2.5
29,768,Snacks,Cookies,01-09-2022,1804,0.12,582.54336
30,1377,Snacks,Cookies,01-12-2022,2868,0.22,935.04
31,1662,Fruits & Veggies,Organic Vegetables,01-12-2022,1231,0.1,381.61
32,1463,Oil & Masala,Masalas,01-12-2022,226,0.26,11.3
33,1780,Oil & Masala,Masalas,01-12-2022,983,0.14,49.15
