,Unnamed: 0,Category,Sub Category,Order Date,Sales,Discount,Profit
309,956,Food Grains,Atta & Flour,06-01-2022,1180,0.17,70.8
310,1294,Fruits & Veggies,Organic Vegetables,06-01-2022,1530,0.18,367.2
311,1344,Beverages,Health Drinks,06-01-2022,1307,0.33,91.4256
312,1546,Food Grains,Dals & Pulses,06-01-2022,1486,0.35,520.1
313,1273,Beverages,Health Drinks,06-01-2022,957,0.16,80.208
314,1271,Oil & Masala,Edible Oil & Ghee,06-01-2022,50,0.14,2.5
315,749,Beverages,Health Drinks,06-01-2022,1372,0.33,587.8656000000001
316,413,"Eggs, Meat & Fish",Fish,06-01-2022,724,0.11,280.7808
317,416,Food Grains,Rice,06-01-2022,2240,0.3,291.2
318,1124,Oil & Masala,Masalas,06-01-2022,50,0.29,2.5
319,1545,Fruits & Veggies,Organic Vegetables,06-01-2022,1531,0.31,505.23
320,1962,Fruits & Veggies,Organic Fruits,06-02-2022,2491,0.33,722.39
321,652,"Eggs, Meat & Fish",Eggs,06-02-2022,50,0.3,46.2848
322,1852,"Eggs, Meat & Fish",Chicken,06-02-2022,179,0.16,232.99584
323,609,Oil & Masala,Edible Oil & Ghee,06-02-2022,50,0.27,2.5
324,613,Fruits & Veggies,Fresh Vegetables,06-02-2022,2145,0.31,600.6
325,479,Snacks,Chocolates,06-02-2022,1673,0.12,537.7017599999999
326,813,"Eggs, Meat & Fish",Eggs,06-03-2022,276,0.34,257.1776
327,1396,Oil & Masala,Spices,06-03-2022,1071,0.1,53.55
328,804,Food Grains,Atta & Flour,06-03-2022,1835,0.28,697.3
329,1468,Snacks,Chocolates,06-03-2022,2257,0.1,458.12736
330,1495,Oil & Masala,Spices,06-03-2022,1258,0.25,62.9
331,1060,Oil & Masala,Masalas,06-03-2022,204,0.31,10.2
332,1050,Beverages,Soft Drinks,06-03-2022,1111,0.14,92.1456
333,24,Oil & Masala,Spices,06-03-2022,133,0.3,6.65
334,1051,Fruits & Veggies,Organic Fruits,06-03-2022,1609,0.2,353.98
335,1625,Snacks,Cookies,06-03-2022,2114,0.19,313.94304000000005
