,Unnamed: 0,Category,Sub Category,Order Date,Sales,Discount,Profit
219,337,Bakery,Breads & Buns,05-01-2022,1941,0.16,779.312
220,810,Beverages,Soft Drinks,05-01-2022,2569,0.14,156.168
221,425,Food Grains,Dals & Pulses,05-01-2022,1149,0.22,103.41
222,333,Fruits & Veggies,Fresh Fruits,05-01-2022,1827,0.29,694.26
223,198,Snacks,Chocolates,05-01-2022,1551,0.3,164.3328
224,1966,Oil & Masala,Edible Oil & Ghee,05-01-2022,428,0.32,21.4
225,1165,"Eggs, Meat & Fish",Fish,05-02-2022,50,0.11,66.11967999999999
226,856,Bakery,Biscuits,05-02-2022,1333,0.29,316.656
227,886,"Eggs, Meat & Fish",Mutton,05-02-2022,613,0.18,260.8896
228,1563,Beverages,Soft Drinks,05-02-2022,1206,0.1,255.3408
229,885,Beverages,Health Drinks,05-02-2022,940,0.15,124.416
230,897,Beverages,Soft Drinks,05-03-2022,1911,0.11,174.0672
231,1329,Food Grains,Organic Staples,05-03-2022,1695,0.3,355.95
232,1320,"Eggs, Meat & Fish",Mutton,05-03-2022,278,0.15,295.44960000000003
233,1438,Beverages,Soft Drinks,05-03-2022,1711,0.15,434.2031999999999
234,1412,Oil & Masala,Spices,05-03-2022,50,0.17,2.5
235,1440,Fruits & Veggies,Fresh Fruits,05-03-2022,1061,0.26,169.76
236,1183,Oil & Masala,Spices,05-03-2022,475,0.23,23.75
237,873,Fruits & Veggies,Organic Fruits,05-03-2022,2440,0.28,780.8
238,1174,Fruits & Veggies,Organic Fruits,05-03-2022,2176,0.22,544.0
239,1475,Snacks,Cookies,05-04-2022,2490,0.29,1018.2
240,795,"Eggs, Meat & Fish",Mutton,05-04-2022,50,0.18,272.672
241,763,"Eggs, Meat & Fish",Mutton,05-04-2022,406,0.22,197.34528
242,776,Oil & Masala,Edible Oil & Ghee,05-04-2022,676,0.19,33.8
243,582,Fruits & Veggies,Fresh Fruits,05-04-2022,892,0.34,240.84
244,777,Snacks,Cookies,05-04-2022,1803,0.29,841.35
245,1437,Bakery,Cakes,05-04-2022,1816,0.22,483.28704
246,1436,"Eggs, Meat & Fish",Chicken,05-04-2022,30,0.25,274.496
247,790,Fruits & Veggies,Fresh Vegetables,05-04-2022,1411,0.18,465.63
248,1634,"Eggs, Meat & Fish",Fish,05-04-2022,476,0.24,349.504
249,1197,Bakery,Breads & Buns,05-04-2022,1660,0.22,721.52
250,847,Oil & Masala,Spices,05-05-2022,1402,0.32,70.1
251,456,Fruits & Veggies,Fresh Fruits,05-05-2022,1063,0.14,74.41
252,213,Beverages,Health Drinks,05-05-2022,2700,0.12,1005.0
253,470,Oil & Masala,Spices,05-05-2022,50,0.12,2.5
254,1444,Food Grains,Dals & Pulses,05-05-2022,2220,0.3,466.2
255,454,Beverages,Soft Drinks,05-05-2022,2239,0.24,917.21
256,972,Fruits & Veggies,Organic Fruits,05-06-2022,1061,0.24,318.3
257,1153,Fruits & Veggies,Fresh Vegetables,05-06-2022,1503,0.15,240.48
258,481,"Eggs, Meat & Fish",Mutton,05-06-2022,1060,0.24,283.136
259,590,Fruits & Veggies,Fresh Vegetables,05-06-2022,1077,0.35,430.8
260,1820,Bakery,Cakes,05-06-2022,2551,0.15,633.7936
261,423,Bakery,Cakes,05-06-2022,2222,0.12,140.14079999999998
262,480,"Eggs, Meat & Fish",Mutton,05-06-2022,50,0.14,94.74048
263,925,Beverages,Soft Drinks,05-06-2022,1241,0.11,411.7536
264,395,Food Grains,Dals & Pulses,05-06-2022,1816,0.31,127.12
265,1381,Snacks,Noodles,05-06-2022,1808,0.15,639.2512
266,1013,Food Grains,Rice,05-06-2022,2265,0.2,203.85
267,1951,Snacks,Cookies,05-06-2022,2969,0.18,1034.39
268,1367,Fruits & Veggies,Fresh Fruits,05-06-2022,1314,0.26,289.08
269,1144,Fruits & Veggies,Fresh Vegetables,05-07-2022,1392,0.23,417.6
270,1090,Bakery,Biscuits,05-07-2022,2199,0.27,718.076
271,1148,Bakery,Breads & Buns,05-07-2022,1683,0.35,614.6416
272,1349,Beverages,Health Drinks,05-07-2022,1756,0.21,546.7392
273,1143,Food Grains,Organic Staples,05-07-2022,2302,0.16,161.14
274,1971,Beverages,Soft Drinks,05-07-2022,2488,0.32,868.16
275,311,Fruits & Veggies,Fresh Fruits,05-08-2022,1330,0.15,518.7
276,1179,Oil & Masala,Spices,05-08-2022,1243,0.3,62.15
277,1978,Bakery,Biscuits,05-08-2022,2799,0.34,265.99104
278,1278,Snacks,Cookies,05-08-2022,2485,0.1,788.12
279,598,Oil & Masala,Masalas,05-08-2022,263,0.35,13.15
280,1919,Food Grains,Dals & Pulses,05-09-2022,2288,0.15,228.8
281,1646,Food Grains,Organic Staples,05-09-2022,990,0.3,386.1
282,1740,Snacks,Cookies,05-09-2022,2961,0.3,1102.74
283,1107,Bakery,Biscuits,05-09-2022,1706,0.21,363.12191999999993
284,1730,Beverages,Health Drinks,05-09-2022,1770,0.22,658.96
285,1731,Fruits & Veggies,Organic Vegetables,05-09-2022,2226,0.23,400.68
