,Unnamed: 0,Category,Sub Category,Order Date,Sales,Discount,Profit
1059,608,Bakery,Biscuits,11-01-2022,1106,0.29,122.41152
1060,258,Oil & Masala,Edible Oil & Ghee,11-01-2022,1572,0.13,78.6
1061,525,"Eggs, Meat & Fish",Fish,11-01-2022,1042,0.2,686.48
1062,546,Oil & Masala,Edible Oil & Ghee,11-01-2022,500,0.23,25.0
1063,1793,Food Grains,Rice,11-02-2022,2411,0.3,626.86
1064,375,Beverages,Soft Drinks,11-02-2022,2701,0.23,563.2848
1065,1666,"Eggs, Meat & Fish",Eggs,11-02-2022,50,0.18,117.25824
1066,1293,Beverages,Health Drinks,11-02-2022,2268,0.16,779.08
1067,779,Food Grains,Rice,11-02-2022,1327,0.33,305.21
1068,1669,Food Grains,Atta & Flour,11-02-2022,1471,0.18,88.26
1069,1492,Bakery,Cakes,11-02-2022,1669,0.14,623.3824
1070,1297,Beverages,Health Drinks,11-02-2022,1806,0.27,606.1600000000001
1071,1213,Fruits & Veggies,Organic Vegetables,11-02-2022,944,0.19,84.96
1072,1343,Food Grains,Atta & Flour,11-02-2022,1247,0.32,211.99
1073,877,"Eggs, Meat & Fish",Fish,11-02-2022,339,0.15,369.416
1074,1602,Food Grains,Dals & Pulses,11-02-2022,2422,0.19,1041.46
1075,1302,Beverages,Soft Drinks,11-02-2022,2567,0.11,592.8912
1076,377,Beverages,Health Drinks,11-02-2022,1740,0.29,308.73600000000005
1077,1559,Bakery,Cakes,11-02-2022,2728,0.21,1044.8
1078,1801,"Eggs, Meat & Fish",Chicken,11-02-2022,415,0.31,99.2256
1079,1421,Snacks,Chocolates,11-02-2022,3021,0.16,1341.03
1080,1173,Fruits & Veggies,Fresh Vegetables,11-02-2022,1140,0.26,330.6
1081,1346,Oil & Masala,Masalas,11-02-2022,26,0.14,1.3
1082,1796,Fruits & Veggies,Organic Fruits,11-02-2022,2040,0.23,632.4
1083,1416,Oil & Masala,Edible Oil & Ghee,11-02-2022,618,0.18,30.9
1084,866,Fruits & Veggies,Fresh Vegetables,11-02-2022,775,0.33,178.25
1085,1798,Beverages,Health Drinks,11-02-2022,2409,0.35,762.52
1086,1132,Fruits & Veggies,Fresh Fruits,11-02-2022,2271,0.11,817.56
1087,1799,Fruits & Veggies,Fresh Vegetables,11-02-2022,1530,0.26,306.0
1088,1610,Snacks,Chocolates,11-03-2022,1108,0.2,79.00416
1089,627,Fruits & Veggies,Fresh Vegetables,11-03-2022,508,0.34,208.28
1090,638,Fruits & Veggies,Organic Fruits,11-03-2022,2471,0.26,1087.24
1091,353,Beverages,Soft Drinks,11-03-2022,2875,0.31,285.12
1092,622,"Eggs, Meat & Fish",Eggs,11-03-2022,836,0.26,166.78912
1093,575,Fruits & Veggies,Fresh Vegetables,11-03-2022,2430,0.33,704.7
1094,1303,Oil & Masala,Edible Oil & Ghee,11-03-2022,50,0.16,2.5
1095,1652,"Eggs, Meat & Fish",Fish,11-03-2022,50,0.17,25.92768
1096,769,Snacks,Cookies,11-03-2022,1832,0.28,319.3344
1097,808,Beverages,Health Drinks,11-03-2022,1113,0.32,71.87039999999999
1098,1034,Beverages,Soft Drinks,11-03-2022,2562,0.2,342.4608
1099,1920,Snacks,Chocolates,11-03-2022,2808,0.23,1094.88
1100,49,Food Grains,Rice,11-03-2022,1400,0.17,406.0
1101,69,"Eggs, Meat & Fish",Fish,11-03-2022,1046,0.31,665.78
1102,1054,Food Grains,Organic Staples,11-03-2022,2005,0.14,761.9
1103,893,Snacks,Chocolates,11-03-2022,2019,0.32,744.896
1104,1514,Food Grains,Organic Staples,11-03-2022,2124,0.15,488.52
1105,832,Oil & Masala,Masalas,11-03-2022,50,0.23,2.5
1106,70,Food Grains,Dals & Pulses,11-03-2022,2130,0.23,937.2
1107,805,Oil & Masala,Masalas,11-03-2022,147,0.26,7.35
1108,990,Bakery,Breads & Buns,11-03-2022,2791,0.24,1132.58
1109,368,Oil & Masala,Masalas,11-03-2022,1504,0.24,75.2
1110,137,Food Grains,Atta & Flour,11-03-2022,1881,0.11,733.59
1111,129,Snacks,Noodles,11-04-2022,2940,0.29,733.52
1112,834,Beverages,Soft Drinks,11-04-2022,2275,0.33,594.0
1113,1748,"Eggs, Meat & Fish",Chicken,11-04-2022,50,0.1,125.3376
1114,1747,Fruits & Veggies,Fresh Fruits,11-04-2022,2150,0.15,709.5
1115,1746,Snacks,Chocolates,11-04-2022,2414,0.14,1098.16
1116,1745,Snacks,Noodles,11-04-2022,1807,0.25,819.01
1117,1532,Snacks,Chocolates,11-04-2022,2074,0.12,748.328
1118,1863,Oil & Masala,Masalas,11-04-2022,1007,0.29,50.35
1119,1815,Bakery,Cakes,11-04-2022,1794,0.29,350.74944
1120,1108,"Eggs, Meat & Fish",Chicken,11-04-2022,640,0.32,122.4704
1121,1061,Oil & Masala,Masalas,11-04-2022,1076,0.29,53.8
1122,138,Bakery,Breads & Buns,11-04-2022,1466,0.16,254.39616
1123,1056,Snacks,Noodles,11-04-2022,1219,0.22,449.24544
1124,128,Snacks,Chocolates,11-04-2022,2309,0.28,915.24
1125,1422,Oil & Masala,Edible Oil & Ghee,11-04-2022,50,0.1,2.5
1126,1594,Snacks,Noodles,11-04-2022,2827,0.35,856.75
1127,806,Snacks,Cookies,11-04-2022,1532,0.12,96.62976
1128,1223,Fruits & Veggies,Organic Fruits,11-05-2022,2063,0.18,433.23
1129,1712,Oil & Masala,Edible Oil & Ghee,11-05-2022,169,0.2,8.45
1130,1713,Fruits & Veggies,Fresh Fruits,11-05-2022,957,0.25,114.84
1131,243,Oil & Masala,Edible Oil & Ghee,11-05-2022,759,0.14,37.95
1132,244,Snacks,Chocolates,11-05-2022,2948,0.24,763.52
1133,1548,Bakery,Biscuits,11-05-2022,1409,0.13,321.52896
1134,529,Oil & Masala,Edible Oil & Ghee,11-05-2022,50,0.23,2.5
1135,1029,"Eggs, Meat & Fish",Chicken,11-05-2022,132,0.26,252.33408
1136,14,"Eggs, Meat & Fish",Mutton,11-05-2022,1152,0.17,570.24
1137,554,Snacks,Cookies,11-05-2022,2024,0.17,612.64
1138,850,Bakery,Breads & Buns,11-05-2022,2109,0.24,182.52864
1139,981,Oil & Masala,Masalas,11-05-2022,50,0.33,2.5
1140,158,Bakery,Cakes,11-05-2022,2572,0.24,238.53312
1141,1709,Beverages,Health Drinks,11-05-2022,1120,0.27,72.576
1142,15,Oil & Masala,Spices,11-05-2022,393,0.23,19.65
1143,245,Beverages,Health Drinks,11-05-2022,2650,0.22,694.0
1144,530,Fruits & Veggies,Fresh Fruits,11-05-2022,1020,0.16,71.4
1145,547,Beverages,Soft Drinks,11-05-2022,1741,0.3,386.208
1146,846,Food Grains,Atta & Flour,11-06-2022,1797,0.16,125.79
1147,71,Food Grains,Dals & Pulses,11-06-2022,1382,0.1,290.22
1148,579,Fruits & Veggies,Organic Vegetables,11-06-2022,1077,0.12,463.11
1149,338,Food Grains,Dals & Pulses,11-06-2022,1857,0.31,631.38
1150,1706,"Eggs, Meat & Fish",Fish,11-06-2022,224,0.1,309.6576
1151,679,Bakery,Cakes,11-06-2022,2663,0.29,178.2432
1152,253,Fruits & Veggies,Organic Vegetables,11-06-2022,2152,0.26,215.2
1153,844,Food Grains,Organic Staples,11-06-2022,1822,0.28,255.08
1154,236,"Eggs, Meat & Fish",Mutton,11-06-2022,50,0.17,162.16064
1155,577,Bakery,Breads & Buns,11-06-2022,2880,0.24,275.7888
1156,1702,Bakery,Biscuits,11-06-2022,2519,0.29,1067.6
1157,1927,Fruits & Veggies,Fresh Fruits,11-06-2022,2174,0.32,543.5
1158,20,Food Grains,Organic Staples,11-06-2022,914,0.34,338.18
1159,8,"Eggs, Meat & Fish",Fish,11-06-2022,30,0.13,226.7136
1160,654,Food Grains,Dals & Pulses,11-06-2022,1183,0.33,496.86
1161,1973,Fruits & Veggies,Organic Vegetables,11-06-2022,1379,0.21,262.01
1162,313,Bakery,Breads & Buns,11-06-2022,2503,0.22,725.228
1163,1767,Bakery,Breads & Buns,11-06-2022,2320,0.29,953.6
1164,727,Oil & Masala,Edible Oil & Ghee,11-06-2022,50,0.17,2.5
1165,1764,Beverages,Health Drinks,11-06-2022,1908,0.2,818.28
1166,1761,Fruits & Veggies,Fresh Fruits,11-06-2022,958,0.34,249.08
1167,1760,Beverages,Soft Drinks,11-06-2022,2341,0.19,743.48
1168,1759,Oil & Masala,Masalas,11-06-2022,1117,0.33,55.85
1169,1758,Beverages,Soft Drinks,11-06-2022,2459,0.21,296.49600000000004
1170,580,Beverages,Health Drinks,11-06-2022,1622,0.2,404.7264
1171,573,Bakery,Breads & Buns,11-06-2022,2106,0.32,977.7
1172,748,Food Grains,Organic Staples,11-06-2022,2431,0.33,704.99
1173,1067,"Eggs, Meat & Fish",Fish,11-07-2022,429,0.12,280.0448
1174,924,Food Grains,Dals & Pulses,11-07-2022,1791,0.35,483.57
1175,463,Snacks,Noodles,11-07-2022,2819,0.16,1276.36
1176,316,Snacks,Cookies,11-07-2022,1279,0.11,445.85856
1177,1942,Fruits & Veggies,Fresh Fruits,11-07-2022,769,0.27,261.46
1178,1127,Snacks,Noodles,11-07-2022,1157,0.25,307.99872
1179,1943,Food Grains,Atta & Flour,11-07-2022,2153,0.33,645.9
1180,724,Fruits & Veggies,Fresh Vegetables,11-07-2022,1601,0.35,640.4
1181,1043,Fruits & Veggies,Organic Fruits,11-07-2022,1010,0.35,141.4
1182,1028,Food Grains,Organic Staples,11-07-2022,1011,0.21,384.18
1183,1779,Snacks,Cookies,11-08-2022,2028,0.34,765.488
1184,1168,Bakery,Cakes,11-08-2022,2748,0.34,519.64416
1185,1198,Bakery,Biscuits,11-09-2022,2807,0.17,917.96
1186,1286,Snacks,Noodles,11-09-2022,3049,0.19,1083.6799999999998
1187,9,Food Grains,Atta & Flour,11-09-2022,1856,0.21,723.84
1188,1969,"Eggs, Meat & Fish",Fish,11-09-2022,512,0.26,96.41984
1189,1970,Bakery,Biscuits,11-09-2022,1264,0.27,355.69152
1190,1469,Oil & Masala,Masalas,11-09-2022,333,0.25,16.65
1191,1283,Bakery,Biscuits,11-09-2022,2852,0.22,953.08
1192,1292,Oil & Masala,Masalas,11-09-2022,727,0.13,36.35
1193,1614,Bakery,Biscuits,11-09-2022,2256,0.14,879.6
1194,1552,Snacks,Chocolates,11-09-2022,2446,0.2,798.104
1195,1114,Bakery,Biscuits,11-09-2022,1922,0.19,755.24
1196,355,"Eggs, Meat & Fish",Eggs,11-09-2022,638,0.29,188.2112
1197,1705,Fruits & Veggies,Organic Fruits,11-10-2022,558,0.19,50.22
1198,1789,Beverages,Soft Drinks,11-10-2022,1734,0.25,288.144
1199,1757,Beverages,Health Drinks,11-10-2022,2179,0.3,512.3520000000001
1200,879,"Eggs, Meat & Fish",Fish,11-10-2022,1139,0.21,265.3312
1201,1125,Snacks,Noodles,11-10-2022,1329,0.19,289.73376
1202,1539,Food Grains,Atta & Flour,11-10-2022,1406,0.14,365.56
1203,1333,Bakery,Breads & Buns,11-10-2022,2796,0.21,455.36256
1204,1540,Bakery,Breads & Buns,11-10-2022,2425,0.21,1066.5
1205,1116,Food Grains,Atta & Flour,11-10-2022,663,0.25,212.16
1206,1251,Beverages,Soft Drinks,11-10-2022,1187,0.19,237.98880000000003
1207,1071,Snacks,Noodles,11-10-2022,2085,0.25,968.25
1208,1577,Oil & Masala,Masalas,11-10-2022,713,0.12,35.65
1209,907,Snacks,Noodles,11-10-2022,1885,0.17,618.112
1210,1420,Food Grains,Atta & Flour,11-10-2022,1573,0.22,487.63
1211,1536,Snacks,Cookies,11-10-2022,2077,0.21,861.26
1212,500,Bakery,Breads & Buns,11-11-2022,2884,0.24,513.07776
1213,928,Beverages,Health Drinks,11-11-2022,930,0.21,175.536
1214,946,"Eggs, Meat & Fish",Mutton,11-11-2022,50,0.17,148.4288
1215,630,Food Grains,Rice,11-11-2022,2454,0.26,834.36
1216,641,Food Grains,Dals & Pulses,11-11-2022,2069,0.23,744.84
1217,1851,Food Grains,Atta & Flour,11-11-2022,1689,0.15,692.49
1218,1805,Snacks,Noodles,11-11-2022,1401,0.25,110.73024
1219,148,"Eggs, Meat & Fish",Fish,11-11-2022,33,0.32,246.20544
1220,147,Snacks,Chocolates,11-11-2022,1345,0.26,64.368
1221,839,Food Grains,Organic Staples,11-11-2022,979,0.23,58.74
1222,1309,Snacks,Chocolates,11-11-2022,2400,0.25,840.0
1223,695,Food Grains,Atta & Flour,11-11-2022,1625,0.2,682.5
1224,865,Food Grains,Dals & Pulses,11-11-2022,1436,0.34,373.36
1225,201,Beverages,Soft Drinks,11-11-2022,2157,0.32,797.38
1226,1670,Bakery,Breads & Buns,11-11-2022,2561,0.12,809.86
1227,591,Food Grains,Dals & Pulses,11-12-2022,1196,0.22,131.56
1228,655,Food Grains,Organic Staples,11-12-2022,1974,0.18,829.08
1229,1413,Fruits & Veggies,Fresh Vegetables,11-12-2022,1603,0.34,609.14
1230,1682,"Eggs, Meat & Fish",Eggs,11-12-2022,50,0.13,127.62624
1231,1249,Beverages,Health Drinks,11-12-2022,2043,0.26,567.8208
1232,1636,Oil & Masala,Edible Oil & Ghee,11-12-2022,50,0.29,2.5
1233,1932,Bakery,Breads & Buns,11-12-2022,2595,0.23,1137.9
1234,1542,Oil & Masala,Edible Oil & Ghee,11-12-2022,1559,0.34,77.95
1235,674,Beverages,Soft Drinks,11-12-2022,1585,0.21,597.24
1236,849,Bakery,Biscuits,11-12-2022,1619,0.19,738.032
1237,1827,Snacks,Chocolates,11-12-2022,1172,0.26,375.59808
1238,1821,"Eggs, Meat & Fish",Mutton,11-12-2022,1297,0.3,204.55424
1239,1814,Bakery,Biscuits,11-12-2022,2854,0.35,795.056
1240,84,Beverages,Health Drinks,11-12-2022,2512,0.18,547.4304
1241,548,Beverages,Soft Drinks,11-12-2022,1843,0.28,688.744
1242,869,Bakery,Biscuits,11-12-2022,2072,0.13,888.8
1243,1656,Oil & Masala,Spices,11-12-2022,1210,0.29,60.5
1244,1762,Fruits & Veggies,Fresh Vegetables,11-12-2022,2151,0.35,795.87
1245,657,Bakery,Breads & Buns,11-12-2022,1466,0.17,209.50272
1246,1931,Food Grains,Rice,11-12-2022,1429,0.32,457.28
1247,826,"Eggs, Meat & Fish",Mutton,11-12-2022,50,0.25,52.0192
1248,1933,"Eggs, Meat & Fish",Chicken,11-12-2022,157,0.27,48.63488
1249,583,Oil & Masala,Masalas,11-12-2022,1031,0.16,51.55
1250,36,Bakery,Cakes,11-12-2022,1250,0.16,426.8159999999999
1251,1657,Snacks,Chocolates,11-12-2022,3008,0.32,332.88192
1252,859,Fruits & Veggies,Organic Vegetables,11-12-2022,2184,0.34,414.96
1253,1591,Oil & Masala,Masalas,11-12-2022,207,0.12,10.35
