,Unnamed: 0,Category,Sub Category,Order Date,Sales,Discount,Profit
761,618,Snacks,Cookies,10-01-2022,2846,0.31,465.73056
762,1914,Food Grains,Atta & Flour,10-01-2022,1963,0.28,530.01
763,103,Food Grains,Rice,10-01-2022,727,0.23,247.18
764,100,Bakery,Biscuits,10-01-2022,2807,0.33,228.82176
765,211,Fruits & Veggies,Organic Fruits,10-01-2022,1231,0.11,110.79
766,101,"Eggs, Meat & Fish",Eggs,10-01-2022,679,0.28,296.76800000000003
767,78,Fruits & Veggies,Organic Vegetables,10-01-2022,913,0.19,374.33
768,1974,"Eggs, Meat & Fish",Chicken,10-01-2022,1125,0.27,293.12
769,455,Beverages,Soft Drinks,10-01-2022,1548,0.2,678.592
770,451,"Eggs, Meat & Fish",Eggs,10-01-2022,50,0.11,55.29600000000001
771,435,Food Grains,Organic Staples,10-01-2022,1069,0.35,224.49
772,102,Oil & Masala,Edible Oil & Ghee,10-01-2022,768,0.1,38.4
773,942,Oil & Masala,Masalas,10-02-2022,50,0.21,2.5
774,1643,Fruits & Veggies,Organic Fruits,10-02-2022,704,0.22,70.4
775,1887,Beverages,Health Drinks,10-02-2022,922,0.35,157.8528
776,1644,Oil & Masala,Edible Oil & Ghee,10-02-2022,1,0.29,0.05
777,1900,Food Grains,Organic Staples,10-02-2022,637,0.16,210.21
778,1642,"Eggs, Meat & Fish",Mutton,10-02-2022,365,0.12,353.32
779,934,Bakery,Biscuits,10-02-2022,2618,0.18,1087.02
780,1279,Food Grains,Dals & Pulses,10-02-2022,1099,0.19,98.91
781,1906,Fruits & Veggies,Fresh Vegetables,10-02-2022,664,0.16,232.4
782,372,Bakery,Breads & Buns,10-02-2022,2999,0.12,1379.55
783,1726,Oil & Masala,Edible Oil & Ghee,10-02-2022,50,0.11,2.5
784,1282,Beverages,Health Drinks,10-02-2022,2839,0.25,421.4592
785,1131,Beverages,Soft Drinks,10-02-2022,1733,0.34,345.5136
786,1727,Oil & Masala,Masalas,10-02-2022,1003,0.25,50.15
787,1724,Oil & Masala,Masalas,10-02-2022,185,0.25,9.25
788,1976,Snacks,Noodles,10-02-2022,1540,0.22,438.5664
789,344,Fruits & Veggies,Fresh Fruits,10-02-2022,1549,0.25,309.8
790,1575,Beverages,Health Drinks,10-02-2022,2789,0.26,797.25
791,1645,Bakery,Cakes,10-02-2022,2829,0.24,577.7568000000001
792,711,Food Grains,Atta & Flour,10-02-2022,601,0.15,258.43
793,135,Fruits & Veggies,Organic Fruits,10-02-2022,1589,0.35,190.68
794,134,Oil & Masala,Edible Oil & Ghee,10-02-2022,942,0.18,47.1
795,133,"Eggs, Meat & Fish",Eggs,10-02-2022,832,0.17,197.67296
796,1093,Snacks,Cookies,10-02-2022,2312,0.14,950.56
797,935,Beverages,Soft Drinks,10-02-2022,1177,0.16,279.72
798,136,Food Grains,Rice,10-02-2022,1531,0.14,214.34
799,1936,Beverages,Health Drinks,10-03-2022,1539,0.26,360.8352
800,812,Bakery,Biscuits,10-03-2022,1235,0.11,416.9664
801,822,Fruits & Veggies,Organic Fruits,10-03-2022,2013,0.29,845.46
802,531,Oil & Masala,Edible Oil & Ghee,10-03-2022,878,0.14,43.9
803,1275,Snacks,Chocolates,10-03-2022,2091,0.16,386.4672
804,1777,Fruits & Veggies,Organic Fruits,10-03-2022,1899,0.23,778.59
805,1200,"Eggs, Meat & Fish",Mutton,10-03-2022,150,0.17,248.832
806,374,Beverages,Soft Drinks,10-03-2022,2076,0.32,337.8816
807,1663,Oil & Masala,Masalas,10-03-2022,249,0.18,12.45
808,1683,Beverages,Health Drinks,10-04-2022,1130,0.17,199.728
809,1907,Food Grains,Dals & Pulses,10-05-2022,1848,0.33,702.24
810,1479,"Eggs, Meat & Fish",Mutton,10-05-2022,1086,0.29,222.38208
811,1201,Oil & Masala,Masalas,10-05-2022,1002,0.19,50.1
812,1626,Fruits & Veggies,Organic Vegetables,10-05-2022,1199,0.35,515.57
813,1199,Bakery,Breads & Buns,10-05-2022,2300,0.23,929.0
814,1488,"Eggs, Meat & Fish",Fish,10-05-2022,50,0.11,155.38688
815,1194,Beverages,Soft Drinks,10-05-2022,1269,0.35,287.8128
816,1582,Fruits & Veggies,Fresh Fruits,10-05-2022,913,0.12,54.78
817,1921,"Eggs, Meat & Fish",Mutton,10-05-2022,612,0.23,176.27136
818,176,Bakery,Cakes,10-05-2022,1690,0.21,433.2096
819,1583,Food Grains,Rice,10-05-2022,721,0.23,165.83
820,1882,Beverages,Health Drinks,10-05-2022,2239,0.21,556.1136
821,1904,Bakery,Cakes,10-05-2022,2579,0.34,992.65
822,1170,Food Grains,Organic Staples,10-05-2022,1135,0.11,454.0
823,175,Food Grains,Organic Staples,10-05-2022,617,0.3,197.44
824,908,Bakery,Cakes,10-06-2022,1772,0.19,748.496
825,464,Snacks,Chocolates,10-06-2022,1612,0.34,297.28512
826,467,"Eggs, Meat & Fish",Mutton,10-06-2022,50,0.18,181.10976
827,1883,Bakery,Biscuits,10-06-2022,2868,0.24,935.04
828,1383,Snacks,Chocolates,10-06-2022,1110,0.3,334.8864
829,693,"Eggs, Meat & Fish",Mutton,10-06-2022,1291,0.32,165.80095999999998
830,708,Bakery,Breads & Buns,10-06-2022,2061,0.29,201.96864
831,1836,Beverages,Health Drinks,10-06-2022,2598,0.34,316.512
832,1834,Food Grains,Dals & Pulses,10-06-2022,1268,0.18,266.28
833,1698,Beverages,Soft Drinks,10-06-2022,2532,0.13,903.56
834,1888,"Eggs, Meat & Fish",Eggs,10-06-2022,634,0.1,488.62
835,1958,Bakery,Cakes,10-06-2022,1647,0.31,470.39616000000007
836,359,Bakery,Cakes,10-07-2022,2478,0.26,389.4220800000001
837,623,Food Grains,Atta & Flour,10-07-2022,2079,0.12,103.95
838,1871,Oil & Masala,Masalas,10-07-2022,719,0.25,35.95
839,1092,Oil & Masala,Masalas,10-07-2022,548,0.26,27.4
840,687,Fruits & Veggies,Fresh Vegetables,10-07-2022,1715,0.2,343.0
841,1089,Beverages,Health Drinks,10-07-2022,2842,0.15,1005.86
842,1873,Beverages,Health Drinks,10-07-2022,2829,0.32,209.8656
843,1876,Oil & Masala,Masalas,10-07-2022,762,0.33,38.1
844,1968,Bakery,Breads & Buns,10-07-2022,1454,0.12,339.41376
845,1696,Snacks,Cookies,10-07-2022,2026,0.28,394.26048
846,1073,Food Grains,Rice,10-07-2022,1091,0.27,403.67
847,1471,Fruits & Veggies,Fresh Vegetables,10-08-2022,1979,0.21,197.9
848,1615,Oil & Masala,Masalas,10-08-2022,50,0.21,2.5
849,1618,Oil & Masala,Masalas,10-08-2022,372,0.18,18.6
850,1628,"Eggs, Meat & Fish",Mutton,10-08-2022,50,0.18,60.8256
851,298,Bakery,Breads & Buns,10-08-2022,2385,0.24,942.6
852,1228,Oil & Masala,Masalas,10-08-2022,783,0.25,39.15
853,517,Snacks,Noodles,10-09-2022,1877,0.11,797.636
854,742,Bakery,Biscuits,10-09-2022,1596,0.23,430.272
855,429,Oil & Masala,Spices,10-09-2022,776,0.26,38.8
856,1154,"Eggs, Meat & Fish",Chicken,10-09-2022,50,0.21,97.4848
857,1155,Snacks,Cookies,10-09-2022,2148,0.28,294.24384000000003
858,759,Fruits & Veggies,Fresh Vegetables,10-09-2022,1963,0.2,569.27
859,446,Snacks,Chocolates,10-09-2022,2317,0.25,504.38592
860,1103,Snacks,Chocolates,10-09-2022,2592,0.2,957.36
861,307,Food Grains,Organic Staples,10-09-2022,980,0.28,245.0
862,701,Beverages,Soft Drinks,10-09-2022,2205,0.23,795.65
863,230,"Eggs, Meat & Fish",Mutton,10-09-2022,50,0.29,155.19744
864,273,Beverages,Soft Drinks,10-10-2022,2132,0.29,619.6
865,1621,Fruits & Veggies,Organic Vegetables,10-12-2022,2092,0.25,732.2
866,388,Bakery,Breads & Buns,10-12-2022,2041,0.25,905.22
867,291,Food Grains,Rice,10-12-2022,2355,0.3,117.75
868,1952,Food Grains,Organic Staples,10-12-2022,1824,0.13,200.64
869,1525,Bakery,Breads & Buns,10-12-2022,1152,0.28,200.30976
870,1679,Fruits & Veggies,Organic Vegetables,10-12-2022,1863,0.22,130.41
871,297,Bakery,Cakes,10-12-2022,1718,0.12,502.29504
872,1949,Beverages,Health Drinks,10-12-2022,2900,0.25,468.0
873,585,Food Grains,Organic Staples,10-12-2022,661,0.11,257.79
874,223,"Eggs, Meat & Fish",Fish,10-12-2022,719,0.12,316.7296
875,1739,Bakery,Cakes,10-12-2022,2018,0.14,441.05472
876,1754,Food Grains,Dals & Pulses,10-12-2022,816,0.28,334.56
877,1918,Oil & Masala,Edible Oil & Ghee,10-12-2022,1155,0.25,57.75
878,1817,Fruits & Veggies,Fresh Fruits,10-12-2022,1619,0.12,679.98
879,716,Fruits & Veggies,Organic Vegetables,10-12-2022,1200,0.18,540.0
880,1024,"Eggs, Meat & Fish",Eggs,10-12-2022,50,0.31,111.23712
881,1510,Oil & Masala,Edible Oil & Ghee,10-12-2022,50,0.22,2.5
882,992,Oil & Masala,Spices,10-12-2022,241,0.23,12.05
