,Unnamed: 0,Category,Sub Category,Order Date,Sales,Discount,Profit
559,216,Bakery,Cakes,09-01-2022,1265,0.26,436.6656
560,1266,Beverages,Health Drinks,09-01-2022,2043,0.35,671.764
561,1878,Oil & Masala,Masalas,09-01-2022,1580,0.35,79.0
562,1122,Food Grains,Atta & Flour,09-01-2022,1141,0.26,102.69
563,930,Beverages,Health Drinks,09-01-2022,1011,0.3,202.3632
564,1063,Oil & Masala,Spices,09-01-2022,145,0.35,7.25
565,241,Oil & Masala,Edible Oil & Ghee,09-01-2022,50,0.13,2.5
566,1181,"Eggs, Meat & Fish",Chicken,09-02-2022,216,0.15,159.49823999999998
567,783,Oil & Masala,Edible Oil & Ghee,09-02-2022,216,0.18,10.8
568,1011,Snacks,Cookies,09-02-2022,2802,0.34,916.56
569,606,Beverages,Health Drinks,09-02-2022,1626,0.14,600.208
570,1078,Oil & Masala,Masalas,09-02-2022,963,0.29,48.15
571,1171,Beverages,Soft Drinks,09-02-2022,1129,0.32,199.4544
572,1162,Food Grains,Organic Staples,09-02-2022,1886,0.28,339.48
573,929,Oil & Masala,Spices,09-02-2022,1088,0.11,54.4
574,1795,Food Grains,Atta & Flour,09-02-2022,2225,0.24,845.5
575,1391,Snacks,Cookies,09-02-2022,1426,0.19,228.37248
576,1395,Oil & Masala,Spices,09-02-2022,236,0.23,11.8
577,1403,"Eggs, Meat & Fish",Mutton,09-02-2022,201,0.14,78.90432000000001
578,131,Bakery,Breads & Buns,09-02-2022,2686,0.23,396.50688
579,858,Fruits & Veggies,Fresh Fruits,09-02-2022,1937,0.12,561.73
580,1432,"Eggs, Meat & Fish",Eggs,09-02-2022,9,0.3,61.9008
581,152,Food Grains,Dals & Pulses,09-02-2022,2372,0.13,853.92
582,153,Fruits & Veggies,Organic Vegetables,09-02-2022,1579,0.25,442.12
583,527,Fruits & Veggies,Organic Vegetables,09-02-2022,1433,0.25,487.22
584,154,Food Grains,Dals & Pulses,09-02-2022,1734,0.2,329.46
585,1800,Oil & Masala,Masalas,09-02-2022,50,0.35,2.5
586,364,Snacks,Cookies,09-02-2022,1521,0.1,603.9712
587,880,Oil & Masala,Spices,09-02-2022,387,0.14,19.35
588,1671,Beverages,Health Drinks,09-02-2022,1990,0.24,899.6
589,1576,Snacks,Noodles,09-02-2022,1646,0.18,739.736
590,1578,"Eggs, Meat & Fish",Mutton,09-02-2022,50,0.27,65.61792
591,1580,Fruits & Veggies,Organic Vegetables,09-02-2022,1567,0.25,548.45
592,1658,"Eggs, Meat & Fish",Eggs,09-02-2022,50,0.35,117.504
593,157,Fruits & Veggies,Fresh Vegetables,09-02-2022,712,0.19,306.16
594,1386,Bakery,Breads & Buns,09-02-2022,2822,0.22,855.5
595,883,Snacks,Noodles,09-02-2022,2906,0.25,807.3199999999999
596,1382,Fruits & Veggies,Fresh Vegetables,09-02-2022,1832,0.15,201.52
597,1366,Food Grains,Dals & Pulses,09-02-2022,2086,0.14,625.8
598,1373,"Eggs, Meat & Fish",Eggs,09-02-2022,390,0.2,56.9856
599,536,Food Grains,Organic Staples,09-02-2022,2189,0.27,897.49
600,539,"Eggs, Meat & Fish",Mutton,09-02-2022,51,0.23,38.43072
601,1361,Snacks,Noodles,09-02-2022,2957,0.18,609.112
602,1776,Oil & Masala,Edible Oil & Ghee,09-03-2022,782,0.34,39.1
603,132,Snacks,Noodles,09-03-2022,1678,0.21,447.0681600000001
604,1778,"Eggs, Meat & Fish",Mutton,09-03-2022,334,0.29,125.66528
605,260,"Eggs, Meat & Fish",Mutton,09-03-2022,486,0.21,120.85248
606,1665,Fruits & Veggies,Fresh Fruits,09-03-2022,1158,0.1,138.96
607,92,Beverages,Soft Drinks,09-03-2022,1662,0.22,436.1472
608,1466,Oil & Masala,Edible Oil & Ghee,09-03-2022,1201,0.34,60.05
609,1664,Snacks,Chocolates,09-03-2022,2116,0.31,645.76
610,1905,Snacks,Chocolates,09-03-2022,3009,0.11,1239.51
611,1972,Fruits & Veggies,Organic Fruits,09-03-2022,974,0.15,321.42
612,1356,Fruits & Veggies,Fresh Fruits,09-03-2022,580,0.1,237.8
613,287,Oil & Masala,Edible Oil & Ghee,09-03-2022,50,0.27,2.5
614,1572,Snacks,Noodles,09-03-2022,1701,0.3,715.268
615,324,Food Grains,Dals & Pulses,09-04-2022,2122,0.33,742.7
616,1483,Beverages,Health Drinks,09-04-2022,1402,0.17,202.0032
617,1768,Bakery,Cakes,09-04-2022,2392,0.25,154.8288
618,1036,"Eggs, Meat & Fish",Eggs,09-04-2022,442,0.29,293.2992
619,645,Food Grains,Dals & Pulses,09-04-2022,1494,0.19,209.16
620,1141,Food Grains,Dals & Pulses,09-04-2022,2426,0.2,291.12
621,888,Bakery,Cakes,09-04-2022,2452,0.24,1003.76
622,1507,Beverages,Soft Drinks,09-04-2022,2671,0.13,1199.24
623,662,"Eggs, Meat & Fish",Eggs,09-04-2022,50,0.33,90.84928
624,555,Bakery,Breads & Buns,09-04-2022,2576,0.23,971.84
625,1212,Food Grains,Atta & Flour,09-04-2022,1371,0.33,233.07
626,1211,Fruits & Veggies,Organic Vegetables,09-04-2022,795,0.28,286.2
627,1027,"Eggs, Meat & Fish",Mutton,09-04-2022,86,0.15,230.45120000000003
628,556,Bakery,Breads & Buns,09-04-2022,3048,0.3,1034.4
629,266,Bakery,Breads & Buns,09-04-2022,2872,0.26,890.72
630,1729,Snacks,Noodles,09-04-2022,1888,0.26,467.38944
631,669,Food Grains,Atta & Flour,09-04-2022,2068,0.17,124.08
632,855,"Eggs, Meat & Fish",Fish,09-04-2022,50,0.19,83.328
633,544,Food Grains,Rice,09-04-2022,1284,0.12,231.12
634,1923,Bakery,Biscuits,09-04-2022,2993,0.33,826.46
635,1250,Snacks,Noodles,09-04-2022,1579,0.17,253.7568
636,807,Food Grains,Dals & Pulses,09-04-2022,1839,0.19,183.9
637,1097,Snacks,Noodles,09-04-2022,2382,0.22,755.984
